,0,1,2
0,"['Androcymbium', 'albanense']", tuber  geophyte,27
1,"['Androcymbium', 'albomarginatum']", tuber  geophyte,27
2,"['Androcymbium', 'amphigaripense']", tuber  geophyte,27
3,"['Androcymbium', 'austrocapense']", tuber  geophyte,27
4,"['Androcymbium', 'bellum']", tuber  geophyte,27
5,"['Androcymbium', 'buchubergense']", tuber  geophyte,27
6,"['Androcymbium', 'burchellii']", tuber  geophyte,27
7,"['Androcymbium', 'burkei']", tuber  geophyte,27
8,"['Androcymbium', 'capense']", tuber  geophyte,27
9,"['Androcymbium', 'cedarbergense']", tuber  geophyte,27
10,"['Androcymbium', 'ciliolatum']", tuber  geophyte,27
11,"['Androcymbium', 'circinatum']", tuber  geophyte,27
12,"['Androcymbium', 'crenulatum']", tuber  geophyte,27
13,"['Androcymbium', 'crispum']", tuber  geophyte,27
14,"['Androcymbium', 'cruciatum']", tuber  geophyte,27
15,"['Androcymbium', 'cuspidatum']", tuber  geophyte,27
16,"['Androcymbium', 'decipiens']", tuber  geophyte,27
17,"['Androcymbium', 'dregei']", tuber  geophyte,27
18,"['Androcymbium', 'eghimocymbion']", tuber  geophyte,27
19,"['Androcymbium', 'etesionamibense']", tuber  geophyte,27
20,"['Androcymbium', 'eucomoides']", tuber  geophyte,27
21,"['Androcymbium', 'europaeum']", tuber  geophyte,12 20
22,"['Androcymbium', 'exiguum']", tuber  geophyte,27
23,"['Androcymbium', 'gramineum']", tuber  geophyte,20 22
24,"['Androcymbium', 'greuterocymbium']", tuber  geophyte,27
25,"['Androcymbium', 'hantamense']", tuber  geophyte,27
26,"['Androcymbium', 'henssenianum']", tuber  geophyte,27
27,"['Androcymbium', 'hierrense']", tuber  geophyte,21
28,"['Androcymbium', 'hughocymbion']", tuber  geophyte,27
29,"['Androcymbium', 'huntleyi']", tuber  geophyte,27
30,"['Androcymbium', 'irroratum']", tuber  geophyte,27
31,"['Androcymbium', 'karooparkense']", tuber  geophyte,27
32,"['Androcymbium', 'knersvlaktense']", tuber  geophyte,27
33,"['Androcymbium', 'kunkelianum']", tuber  geophyte,27
34,"['Androcymbium', 'leistneri']", tuber  geophyte,27
35,"['Androcymbium', 'longipes']", tuber  geophyte,27
36,"['Androcymbium', 'melanthioides']", tuber  geophyte,26 27
37,"['Androcymbium', 'natalense']", tuber  geophyte,27
38,"['Androcymbium', 'orienticapense']", tuber  geophyte,27
39,"['Androcymbium', 'palaestinum']", tuber  geophyte,20 34
40,"['Androcymbium', 'poeltianum']", tuber  geophyte,27
41,"['Androcymbium', 'praeirroratum']", tuber  geophyte,27
42,"['Androcymbium', 'psammophilum']", tuber  geophyte,21
43,"['Androcymbium', 'rechingeri']", tuber  geophyte,13 20
44,"['Androcymbium', 'roseum']", tuber  geophyte,26 27
45,"['Androcymbium', 'scabromarginatum']", tuber  geophyte,27
46,"['Androcymbium', 'schimperianum']", tuber  geophyte,24 35
47,"['Androcymbium', 'stirtonii']", tuber  geophyte,27
48,"['Androcymbium', 'striatum']", tuber  geophyte,24 25 26 27
49,"['Androcymbium', 'swazicum']", tuber  geophyte,27
50,"['Androcymbium', 'undulatum']", tuber  geophyte,27
51,"['Androcymbium', 'vanjaarsveldii']", tuber  geophyte,27
52,"['Androcymbium', 'villosum']", tuber  geophyte,27
53,"['Androcymbium', 'volutare']", tuber  geophyte,27
54,"['Androcymbium', 'walteri']", tuber  geophyte,27
55,"['Androcymbium', 'worsonense']", tuber  geophyte,27
56,"['Baeometra', 'uniflora']", tuber  geophyte,27
57,"['Burchardia', 'bairdiae']", tuber  geophyte,50
58,"['Burchardia', 'congesta']", tuber  geophyte,50
59,"['Burchardia', 'monantha']", tuber  geophyte,50
60,"['Burchardia', 'multiflora']", tuber  geophyte,50
61,"['Burchardia', 'rosea']", tuber  geophyte,50
62,"['Burchardia', 'umbellata']", tuber  geophyte,50
63,"['Camptorrhiza', 'indica']", tuber  geophyte,40
64,"['Camptorrhiza', 'strumosa']", tuber  geophyte,26 27
65,"['Colchicum', 'alpinum']", tuber  geophyte,11 12 13
66,"['Colchicum', 'androcymbioides']", tuber  geophyte,12
67,"['Colchicum', 'antepense']", tuber  geophyte,34
68,"['Colchicum', 'antilibanoticum']", tuber  geophyte,34
69,"['Colchicum', 'arenarium']", tuber  geophyte,11 13 14
70,"['Colchicum', 'arenasii']", tuber  geophyte,12
71,"['Colchicum', 'asteranthum']", tuber  geophyte,13
72,"['Colchicum', 'atticum']", tuber  geophyte,13 34
73,"['Colchicum', 'autumnale']", tuber  geophyte,11 12 13
74,"['Colchicum', 'balansae']", tuber  geophyte,13 34
75,"['Colchicum', 'baytopiorum']", tuber  geophyte,34
76,"['Colchicum', 'bivonae']", tuber  geophyte,12 13 34
77,"['Colchicum', 'boissieri']", tuber  geophyte,13 34
78,"['Colchicum', 'bulbocodium']", tuber  geophyte,11 12 13 14 33
79,"['Colchicum', 'burttii']", tuber  geophyte,13 34
80,"['Colchicum', 'chalcedonicum']", tuber  geophyte,13 34
81,"['Colchicum', 'chimonanthum']", tuber  geophyte,13
82,"['Colchicum', 'chlorobasis']", tuber  geophyte,34
83,"['Colchicum', 'cilicicum']", tuber  geophyte,34
84,"['Colchicum', 'confusum']", tuber  geophyte,13
85,"['Colchicum', 'corsicum']", tuber  geophyte,12
86,"['Colchicum', 'cretense']", tuber  geophyte,13
87,"['Colchicum', 'crocifolium']", tuber  geophyte,34
88,"['Colchicum', 'cupanii']", tuber  geophyte,12 13 20
89,"['Colchicum', 'davisii']", tuber  geophyte,34
90,"['Colchicum', 'decaisnei']", tuber  geophyte,34
91,"['Colchicum', 'doerfleri']", tuber  geophyte,13
92,"['Colchicum', 'dolichantherum']", tuber  geophyte,34
93,"['Colchicum', 'eichleri']", tuber  geophyte,33
94,"['Colchicum', 'euboeum']", tuber  geophyte,13
95,"['Colchicum', 'fasciculare']", tuber  geophyte,34
96,"['Colchicum', 'feinbruniae']", tuber  geophyte,34
97,"['Colchicum', 'figlalii']", tuber  geophyte,34
98,"['Colchicum', 'filifolium']", tuber  geophyte,12 20
99,"['Colchicum', 'freynii']", tuber  geophyte,33 34
100,"['Colchicum', 'gonarei']", tuber  geophyte,12
101,"['Colchicum', 'gracile']", tuber  geophyte,13
102,"['Colchicum', 'graecum']", tuber  geophyte,13
103,"['Colchicum', 'greuteri']", tuber  geophyte,33
104,"['Colchicum', 'haynaldii']", tuber  geophyte,13
105,"['Colchicum', 'heldreichii']", tuber  geophyte,34
106,"['Colchicum', 'hierosolymitanum']", tuber  geophyte,34
107,"['Colchicum', 'hirsutum']", tuber  geophyte,34
108,"['Colchicum', 'hungaricum']", tuber  geophyte,11 13
109,"['Colchicum', 'ignescens']", tuber  geophyte,34
110,"['Colchicum', 'imperatoris-friderici']", tuber  geophyte,34
111,"['Colchicum', 'inundatum']", tuber  geophyte,34
112,"['Colchicum', 'kesselringii']", tuber  geophyte,32 34 40
113,"['Colchicum', 'kotschyi']", tuber  geophyte,34
114,"['Colchicum', 'kurdicum']", tuber  geophyte,34
115,"['Colchicum', 'laetum']", tuber  geophyte,14 33
116,"['Colchicum', 'lagotum']", tuber  geophyte,34
117,"['Colchicum', 'leptanthum']", tuber  geophyte,34
118,"['Colchicum', 'lingulatum']", tuber  geophyte,13 34
119,"['Colchicum', 'longifolium']", tuber  geophyte,12 13 20
120,"['Colchicum', 'lusitanum']", tuber  geophyte,12 13 20
121,"['Colchicum', 'luteum']", tuber  geophyte,32 34 36 40
122,"['Colchicum', 'macedonicum']", tuber  geophyte,13
123,"['Colchicum', 'macrophyllum']", tuber  geophyte,13 34
124,"['Colchicum', 'manissadjianii']", tuber  geophyte,33 34
125,"['Colchicum', 'maraschicum']", tuber  geophyte,34
126,"['Colchicum', 'micaceum']", tuber  geophyte,34
127,"['Colchicum', 'micranthum']", tuber  geophyte,13 34
128,"['Colchicum', 'minutum']", tuber  geophyte,34
129,"['Colchicum', 'mirzoevae']", tuber  geophyte,33
130,"['Colchicum', 'montanum']", tuber  geophyte,12
131,"['Colchicum', 'multiflorum']", tuber  geophyte,12
132,"['Colchicum', 'munzurense']", tuber  geophyte,34
133,"['Colchicum', 'nanum']", tuber  geophyte,12
134,"['Colchicum', 'neapolitanum']", tuber  geophyte,13
135,"['Colchicum', 'parlatoris']", tuber  geophyte,13
136,"['Colchicum', 'parnassicum']", tuber  geophyte,13
137,"['Colchicum', 'paschei']", tuber  geophyte,34
138,"['Colchicum', 'peloponnesiacum']", tuber  geophyte,13
139,"['Colchicum', 'persicum']", tuber  geophyte,34
140,"['Colchicum', 'polyphyllum']", tuber  geophyte,34
141,"['Colchicum', 'pulchellum']", tuber  geophyte,13
142,"['Colchicum', 'pusillum']", tuber  geophyte,13 34
143,"['Colchicum', 'raddeanum']", tuber  geophyte,33 34
144,"['Colchicum', 'rausii']", tuber  geophyte,13
145,"['Colchicum', 'ritchii']", tuber  geophyte,20 34 35
146,"['Colchicum', 'robustum']", tuber  geophyte,32 34 40
147,"['Colchicum', 'sanguicolle']", tuber  geophyte,34
148,"['Colchicum', 'schimperi']", tuber  geophyte,20 34 35
149,"['Colchicum', 'serpentinum']", tuber  geophyte,34
150,"['Colchicum', 'sfikasianum']", tuber  geophyte,13
151,"['Colchicum', 'sieheanum']", tuber  geophyte,34
152,"['Colchicum', 'soboliferum']", tuber  geophyte,13 32 33 34
153,"['Colchicum', 'speciosum']", tuber  geophyte,33 34
154,"['Colchicum', 'stevenii']", tuber  geophyte,34
155,"['Colchicum', 'szovitsii']", tuber  geophyte,13 32 33 34
156,"['Colchicum', 'trigynum']", tuber  geophyte,33 34
157,"['Colchicum', 'triphyllum']", tuber  geophyte,12 13 14 20 34
158,"['Colchicum', 'troodi']", tuber  geophyte,34
159,"['Colchicum', 'tunicatum']", tuber  geophyte,34
160,"['Colchicum', 'turcicum']", tuber  geophyte,13 34
161,"['Colchicum', 'tuviae']", tuber  geophyte,34
162,"['Colchicum', 'umbrosum']", tuber  geophyte,14 33 34
163,"['Colchicum', 'varians']", tuber  geophyte,34
164,"['Colchicum', 'variegatum']", tuber  geophyte,13 34
165,"['Colchicum', 'verlaqueae']", tuber  geophyte,12
166,"['Colchicum', 'wendelboi']", tuber  geophyte,34
167,"['Colchicum', 'woronowii']", tuber  geophyte,33
168,"['Colchicum', 'zahnii']", tuber  geophyte,13
169,"['Disporum', 'acuminatissimum']", geophyte  rhizome,36
170,"['Disporum', 'acuminatum']", geophyte  rhizome,41
171,"['Disporum', 'bodinieri']", geophyte  rhizome,36
172,"['Disporum', 'calcaratum']", geophyte  rhizome,36 40 41
173,"['Disporum', 'cantoniense']", geophyte  rhizome,36 40 41 42
174,"['Disporum', 'hainanense']", geophyte  rhizome,36
175,"['Disporum', 'jinfoshanense']", tuber  geophyte,36
176,"['Disporum', 'kawakamii']", geophyte  rhizome,38
177,"['Disporum', 'leucanthum']", geophyte  rhizome,36 40
178,"['Disporum', 'longistylum']", geophyte  rhizome,36 40
179,"['Disporum', 'lutescens']", geophyte  rhizome,38
180,"['Disporum', 'megalanthum']", geophyte  rhizome,36
181,"['Disporum', 'nantouense']", geophyte  rhizome,38
182,"['Disporum', 'sessile']", geophyte  rhizome,31 38
183,"['Disporum', 'shimadae']", geophyte  rhizome,38
184,"['Disporum', 'smilacinum']", geophyte  rhizome,31 36 38
185,"['Disporum', 'tonkinense']", geophyte  rhizome,41
186,"['Disporum', 'trabeculatum']", geophyte  rhizome,36 41
187,"['Disporum', 'uniflorum']", geophyte  rhizome,36 38
188,"['Disporum', 'viridescens']", geophyte  rhizome,31 36 38
189,"['Gloriosa', 'baudii']", tuber  geophyte,24 25
190,"['Gloriosa', 'carsonii']", tuber  geophyte,23 24 25 26 27
191,"['Gloriosa', 'flavovirens']", tuber  geophyte,26
192,"['Gloriosa', 'lindenii']", tuber  geophyte,23 25 26
193,"['Gloriosa', 'littonioides']", tuber  geophyte,23 25 26
194,"['Gloriosa', 'modesta']", tuber  geophyte,26 27
195,"['Gloriosa', 'revoilii']", tuber  geophyte,24 35
196,"['Gloriosa', 'rigidifolia']", tuber  geophyte,27
197,"['Gloriosa', 'sessiliflora']", tuber  geophyte,26 27
198,"['Gloriosa', 'simplex']", tuber  geophyte,22 23 24 25 26 27 29
199,"['Gloriosa', 'superba']", tuber  geophyte,22 23 24 25 26 27 29 36 40 41 42
200,"['Hexacyrtis', 'dickiana']", tuber  geophyte,27
201,"['Iphigenia', 'boinensis']", tuber  geophyte,29
202,"['Iphigenia', 'indica']", tuber  geophyte,36 40 41 42 43 50
203,"['Iphigenia', 'magnifica']", tuber  geophyte,40
204,"['Iphigenia', 'mysorensis']", tuber  geophyte,40
205,"['Iphigenia', 'oliveri']", tuber  geophyte,24 25 26 27 35
206,"['Iphigenia', 'pallida']", tuber  geophyte,40
207,"['Iphigenia', 'pauciflora']", tuber  geophyte,22 23 24 25 26
208,"['Iphigenia', 'robusta']", tuber  geophyte,29
209,"['Iphigenia', 'sahyadrica']", tuber  geophyte,40
210,"['Iphigenia', 'socotrana']", tuber  geophyte,24
211,"['Iphigenia', 'stellata']", tuber  geophyte,40
212,"['Kuntheria', 'pedunculata']", rhizome  nanophan,50
213,"['Ornithoglossum', 'calcicola']", tuber  geophyte,27
214,"['Ornithoglossum', 'dinteri']", tuber  geophyte,27
215,"['Ornithoglossum', 'gracile']", tuber  geophyte,27
216,"['Ornithoglossum', 'parviflorum']", tuber  geophyte,27
217,"['Ornithoglossum', 'pulchrum']", tuber  geophyte,27
218,"['Ornithoglossum', 'undulatum']", tuber  geophyte,27
219,"['Ornithoglossum', 'viride']", tuber  geophyte,27
220,"['Ornithoglossum', 'vulgare']", tuber  geophyte,25 26 27
221,"['Ornithoglossum', 'zeyheri']", tuber  geophyte,27
222,"['Sandersonia', 'aurantiaca']", geophyte  bulb  hel.,27
223,"['Schelhammera', 'multiflora']", geophyte  rhizome,43 50
224,"['Schelhammera', 'undulata']", geophyte  rhizome,50
225,"['Tripladenia', 'cunninghamii']", geophyte  rhizome,50
226,"['Uvularia', 'floridana']", geophyte  rhizome,78
227,"['Uvularia', 'grandiflora']", geophyte  rhizome,71 72 74 75 78
228,"['Uvularia', 'perfoliata']", geophyte  rhizome,72 75 77 78
229,"['Uvularia', 'puberula']", geophyte  rhizome,75 78
230,"['Uvularia', 'sessilifolia']", geophyte  rhizome,71 72 74 75 77 78
231,"['Wurmbea', 'angustifolia']", tuber  geophyte,26 27
232,"['Wurmbea', 'australis']", tuber  geophyte,50
233,"['Wurmbea', 'biglandulosa']", tuber  geophyte,50
234,"['Wurmbea', 'burttii']", tuber  geophyte,27
235,"['Wurmbea', 'calcicola']", tuber  geophyte,50
236,"['Wurmbea', 'capensis']", tuber  geophyte,27
237,"['Wurmbea', 'centralis']", tuber  geophyte,50
238,"['Wurmbea', 'cernua']", tuber  geophyte,50
239,"['Wurmbea', 'citrina']", tuber  geophyte,50
240,"['Wurmbea', 'compacta']", tuber  geophyte,27
241,"['Wurmbea', 'decumbens']", tuber  geophyte,50
242,"['Wurmbea', 'densiflora']", tuber  geophyte,50
243,"['Wurmbea', 'deserticola']", tuber  geophyte,50
244,"['Wurmbea', 'dilatata']", tuber  geophyte,50
245,"['Wurmbea', 'dioica']", tuber  geophyte,50
246,"['Wurmbea', 'dolichantha']", tuber  geophyte,27
247,"['Wurmbea', 'drummondii']", tuber  geophyte,50
248,"['Wurmbea', 'elatior']", tuber  geophyte,27
249,"['Wurmbea', 'elongata']", tuber  geophyte,27
250,"['Wurmbea', 'fluviatilis']", tuber  geophyte,50
251,"['Wurmbea', 'glassii']", tuber  geophyte,27
252,"['Wurmbea', 'graniticola']", tuber  geophyte,50
253,"['Wurmbea', 'hiemalis']", tuber  geophyte,27
254,"['Wurmbea', 'inflata']", tuber  geophyte,50
255,"['Wurmbea', 'inframediana']", tuber  geophyte,50
256,"['Wurmbea', 'inusta']", tuber  geophyte,27
257,"['Wurmbea', 'kraussii']", tuber  geophyte,27
258,"['Wurmbea', 'latifolia']", tuber  geophyte,50
259,"['Wurmbea', 'marginata']", tuber  geophyte,27
260,"['Wurmbea', 'minima']", tuber  geophyte,27
261,"['Wurmbea', 'monantha']", tuber  geophyte,50
262,"['Wurmbea', 'monopetala']", tuber  geophyte,27
263,"['Wurmbea', 'murchisoniana']", tuber  geophyte  hel.,50
264,"['Wurmbea', 'nilpinna']", tuber  geophyte,50
265,"['Wurmbea', 'novae-zelandiae']", tuber  geophyte,51
266,"['Wurmbea', 'odorata']", tuber  geophyte,50
267,"['Wurmbea', 'punctata']", tuber  geophyte,27
268,"['Wurmbea', 'pusilla']", tuber  geophyte,27
269,"['Wurmbea', 'pygmaea']", tuber  geophyte,50
270,"['Wurmbea', 'recurva']", tuber  geophyte,27
271,"['Wurmbea', 'robusta']", tuber  geophyte,27
272,"['Wurmbea', 'saccata']", tuber  geophyte,50
273,"['Wurmbea', 'sinora']", tuber  geophyte,50
274,"['Wurmbea', 'spicata']", tuber  geophyte,27
275,"['Wurmbea', 'stellata']", tuber  geophyte,50
276,"['Wurmbea', 'stricta']", tuber  geophyte,27
277,"['Wurmbea', 'tenella']", tuber  geophyte,50
278,"['Wurmbea', 'tenuis']", tuber  geophyte,22 23 25 26 27
279,"['Wurmbea', 'tubulosa']", tuber  geophyte,50
280,"['Wurmbea', 'uniflora']", tuber  geophyte,50
281,"['Wurmbea', 'variabilis']", tuber  geophyte,27
282,"['Petermannia', 'cirrosa']", cl.,50
283,"['Alstroemeria', 'achirae']", tuber  geophyte,85
284,"['Alstroemeria', 'albescens']", tuber  geophyte,84
285,"['Alstroemeria', 'altoparadisea']", tuber  geophyte,84
286,"['Alstroemeria', 'amabilis']", tuber  geophyte,84
287,"['Alstroemeria', 'amazonica']", tuber  geophyte,82 84
288,"['Alstroemeria', 'andina']", tuber  geophyte,85
289,"['Alstroemeria', 'angustifolia']", tuber  geophyte,85
290,"['Alstroemeria', 'annapolina']", tuber  geophyte,84
291,"['Alstroemeria', 'apertiflora']", tuber  geophyte,84 85
292,"['Alstroemeria', 'aquidauanica']", tuber  geophyte,84
293,"['Alstroemeria', 'arnicana']", tuber  geophyte,84
294,"['Alstroemeria', 'aulica']", tuber  geophyte,85
295,"['Alstroemeria', 'aurea']", tuber  geophyte,85
296,"['Alstroemeria', 'bahiensis']", tuber  geophyte,84
297,"['Alstroemeria', 'bakeri']", tuber  geophyte,85
298,"['Alstroemeria', 'bilabiata']", tuber  geophyte,85
299,"['Alstroemeria', 'brasiliensis']", tuber  geophyte,84
300,"['Alstroemeria', 'burchellii']", tuber  geophyte,84
301,"['Alstroemeria', 'cabralensis']", tuber  geophyte,84
302,"['Alstroemeria', 'caiaponica']", tuber  geophyte,84
303,"['Alstroemeria', 'calliantha']", tuber  geophyte,84
304,"['Alstroemeria', 'cantillanica']", tuber  geophyte,85
305,"['Alstroemeria', 'capixaba']", tuber  geophyte,84
306,"['Alstroemeria', 'caryophyllaea']", tuber  geophyte,84
307,"['Alstroemeria', 'chapadensis']", tuber  geophyte,84
308,"['Alstroemeria', 'chorillensis']", tuber  geophyte,83
309,"['Alstroemeria', 'crispata']", tuber  geophyte,85
310,"['Alstroemeria', 'cuiabana']", tuber  geophyte,84
311,"['Alstroemeria', 'cultrifolia']", tuber  geophyte,84
312,"['Alstroemeria', 'cunha']", tuber  geophyte,84
313,"['Alstroemeria', 'decora']", tuber  geophyte,85
314,"['Alstroemeria', 'diluta']", tuber  geophyte,85
315,"['Alstroemeria', 'discolor']", tuber  geophyte,85
316,"['Alstroemeria', 'douradensis']", tuber  geophyte,84
317,"['Alstroemeria', 'espigonensis']", tuber  geophyte,84
318,"['Alstroemeria', 'exserens']", tuber  geophyte,85
319,"['Alstroemeria', 'fiebrigiana']", tuber  geophyte,83
320,"['Alstroemeria', 'foliosa']", tuber  geophyte,84 85
321,"['Alstroemeria', 'fuscovinosa']", tuber  geophyte,84
322,"['Alstroemeria', 'garaventae']", tuber  geophyte,85
323,"['Alstroemeria', 'gardneri']", tuber  geophyte,84
324,"['Alstroemeria', 'glaucandra']", tuber  geophyte,85
325,"['Alstroemeria', 'gouveiana']", tuber  geophyte,84
326,"['Alstroemeria', 'graminea']", tuber  geophyte,85
327,"['Alstroemeria', 'hookeri']", tuber  geophyte,85
328,"['Alstroemeria', 'huemulina']", tuber  geophyte,85
329,"['Alstroemeria', 'ibitipocae']", tuber  geophyte,84
330,"['Alstroemeria', 'igarapavica']", tuber  geophyte,84
331,"['Alstroemeria', 'inodora']", tuber  geophyte,84
332,"['Alstroemeria', 'isabelleana']", tuber  geophyte,84 85
