species,habit,range
Anticlea virescens,geophyte bulb,73 76 77 79
Anticlea volcanica,geophyte bulb,79 80
Chamaelirium luteum,geophyte rhizome hemicr,72 74 75 78
Chionographis actinomorpha,hemicr,41
Chionographis chinensis,hemicr,36
Chionographis cordifolia,hemicr,38
Chionographis hisauchiana,hemicr,38
Chionographis japonica,hemicr,38
Chionographis koidzumiana,hemicr,38
Chionographis nanlingensis,hemicr,36
Chionographis shiwandashanensis,hemicr,36
Helonias bullata,hemicr,75 78
Heloniopsis breviscapa,geophyte rhizome,38
Heloniopsis kawanoi,geophyte rhizome hemicr,38
Heloniopsis koreana,geophyte rhizome hemicr,38
Heloniopsis leucantha,geophyte rhizome hemicr,38
Heloniopsis orientalis,geophyte rhizome,31 38
Heloniopsis tubiflora,geophyte rhizome hemicr,38
Heloniopsis umbellata,geophyte rhizome hemicr,38
Paris axialis,geophyte rhizome,36
Paris bashanensis,geophyte rhizome,36
Paris caobangensis,hemicr,41
Paris cronquistii,geophyte rhizome,36 41
Paris daliensis,geophyte rhizome,36
Paris delavayi,geophyte rhizome,36 41
Paris dulongensis,geophyte rhizome,36
Paris dunniana,geophyte rhizome,36 41
Paris fargesii,geophyte rhizome,36 40 41
Paris forrestii,geophyte rhizome,36 41
Paris guizhouensis,geophyte rhizome,36
Paris incompleta,geophyte rhizome,33 34
Paris japonica,geophyte rhizome,38
Paris luquanensis,geophyte rhizome,36
Paris mairei,geophyte rhizome,36
Paris marmorata,geophyte rhizome,36 40
Paris polyandra,geophyte rhizome,36
Paris polyphylla,geophyte rhizome,36 38 40 41
Paris quadrifolia,geophyte rhizome,10 11 12 13 14 30 32 33 34 36 37
Paris rugosa,geophyte rhizome,36
Paris stigmatosa,geophyte rhizome,36
Paris tetraphylla,geophyte rhizome,38
Paris thibetica,geophyte rhizome,36 40 41
Paris undulata,geophyte rhizome,36
Paris vaniotii,geophyte rhizome,36 41
Paris verticillata,geophyte rhizome,30 31 36 37 38
Paris vietnamensis,geophyte rhizome,36 41
Pseudotrillium rivale,geophyte rhizome,73 76
Schoenocaulon calcicola,geophyte bulb,79
Schoenocaulon caricifolium,geophyte bulb,79
Schoenocaulon comatum,geophyte bulb,79
Schoenocaulon conzattii,geophyte bulb,79
Schoenocaulon dubium,geophyte bulb,78
Schoenocaulon frameae,geophyte bulb,79
Schoenocaulon ghiesbreghtii,geophyte bulb,77 79
Schoenocaulon ignigenum,geophyte bulb,79
Schoenocaulon intermedium,geophyte bulb,79
Schoenocaulon jaliscense,geophyte bulb,79
Schoenocaulon macrocarpum,geophyte bulb,79
Schoenocaulon madidorum,geophyte bulb,79
Schoenocaulon megarrhizum,geophyte bulb,79
Schoenocaulon mortonii,geophyte bulb,79
Schoenocaulon oaxacense,geophyte bulb,79
Schoenocaulon obtusum,geophyte bulb,79
Schoenocaulon officinale,geophyte bulb,79 80 82
Schoenocaulon pellucidum,geophyte bulb,79
Schoenocaulon plumosum,geophyte bulb,79
Schoenocaulon pringlei,geophyte bulb,79
Schoenocaulon rzedowskii,geophyte bulb,79
Schoenocaulon tenorioi,geophyte bulb,79
Schoenocaulon tenue,geophyte bulb,79
Schoenocaulon tenuifolium,geophyte bulb,79
Schoenocaulon texanum,geophyte bulb,77 79
Schoenocaulon tigrense,geophyte bulb,79
Stenanthium densum,geophyte bulb,75 77 78
Stenanthium diffusum,geophyte bulb,78
Stenanthium gramineum,geophyte bulb,74 75 77 78
Toxicoscordion brevibracteatum,geophyte bulb,76 79
Toxicoscordion exaltatum,geophyte bulb,76
Toxicoscordion fontanum,geophyte bulb,76
Toxicoscordion fremontii,geophyte bulb,73 76 79
Toxicoscordion micranthum,geophyte bulb,73 76
Toxicoscordion nuttallii,geophyte bulb,74 77 78
Toxicoscordion paniculatum,geophyte bulb,73 76 77 79
Toxicoscordion venenosum,geophyte bulb,71 73 74 76 77 79
Trillium albidum,geophyte rhizome,73 76
Trillium angustipetalum,geophyte rhizome,76
Trillium apetalon,geophyte rhizome,31 38
Trillium camschatcense,geophyte rhizome,31 36 38
Trillium catesbaei,geophyte rhizome,78
Trillium cernuum,geophyte rhizome,71 72 74 75 78
Trillium channellii,geophyte rhizome,38
Trillium chloropetalum,geophyte rhizome,76
Trillium cuneatum,geophyte rhizome,74 78
Trillium decipiens,geophyte rhizome,78
Trillium decumbens,geophyte rhizome,78
Trillium discolor,geophyte rhizome,78
Trillium erectum,geophyte rhizome,72 74 75 78
Trillium flexipes,geophyte rhizome,72 74 75 78
Trillium foetidissimum,geophyte rhizome,78
Trillium govanianum,geophyte rhizome,34 36 40
Trillium gracile,geophyte rhizome,77 78
Trillium grandiflorum,geophyte rhizome,72 74 75 78
Trillium kurabayashii,geophyte rhizome,73 76
Trillium lancifolium,geophyte rhizome,78
Trillium ludovicianum,geophyte rhizome,78
Trillium luteum,geophyte rhizome,78
Trillium maculatum,geophyte rhizome,78
Trillium nivale,geophyte rhizome,74 75 78
Trillium oostingii,geophyte rhizome,78
Trillium ovatum,geophyte rhizome,71 73 76
Trillium ovatum,geophyte rhizome,71
Trillium persistens,geophyte rhizome,78
Trillium petiolatum,geophyte rhizome,73
Trillium pusillum,geophyte rhizome,74 75 77 78
Trillium recurvatum,geophyte rhizome,74 75 77 78
Trillium reliquum,geophyte rhizome,78
Trillium rugelii,geophyte rhizome,78
Trillium sessile,geophyte rhizome,74 75 78
Trillium simile,geophyte rhizome,78
Trillium smallii,geophyte rhizome,31 38
Trillium stamineum,geophyte rhizome,78
Trillium sulcatum,geophyte rhizome,75 78
Trillium taiwanense,geophyte rhizome,38
Trillium tschonoskii,geophyte rhizome,31 36 38 40 41
Trillium underwoodii,geophyte rhizome,78
Trillium undulatum,geophyte rhizome,72 75 78
Trillium vaseyi,geophyte rhizome,78
Trillium viride,geophyte rhizome,74
Trillium viridescens,geophyte rhizome,74 77 78
Veratrum albiflorum,geophyte rhizome hemicr,31
Veratrum album,geophyte rhizome,10 11 12 13 14 30 33 34
Veratrum anticleoides,hemicr,31
Veratrum californicum,geophyte rhizome hemicr,73 76 77 79
Veratrum dahuricum,geophyte rhizome hemicr,30 31 36 38
Veratrum dolichopetalum,geophyte rhizome hemicr,31 36 38
Veratrum fimbriatum,geophyte rhizome hemicr,76
Veratrum formosanum,geophyte rhizome hemicr,38
Veratrum grandiflorum,geophyte rhizome hemicr,36
Veratrum hybridum,geophyte rhizome hemicr,75 78
Veratrum insolitum,geophyte rhizome hemicr,73 76
Veratrum lobelianum,geophyte rhizome hemicr,11 13 14 30 31 32 33 36 37
Veratrum longebracteatum,geophyte rhizome hemicr,38
Veratrum maackii,geophyte rhizome hemicr,31 36 38
Veratrum maximum,hemicr,38
Veratrum mengtzeanum,geophyte rhizome hemicr,36 41
Veratrum micranthum,geophyte rhizome hemicr,36
Veratrum nigrum,geophyte rhizome,11 12 13 14 30 31 32 36 37 38
Veratrum oblongum,geophyte rhizome hemicr,36
Veratrum oxysepalum,geophyte rhizome hemicr,30 31 36 38 70
Veratrum parviflorum,geophyte rhizome hemicr,75 78
Veratrum schindleri,geophyte rhizome hemicr,36
Veratrum shanense,geophyte rhizome hemicr,36 41
Veratrum stamineum,geophyte rhizome hemicr,38
Veratrum taliense,geophyte rhizome hemicr,36
Veratrum versicolor,geophyte rhizome hemicr,36 38
Veratrum virginicum,geophyte rhizome hemicr,74 75 77 78
Veratrum viride,geophyte rhizome hemicr,70 71 72 73 75 76 78
Veratrum woodii,geophyte rhizome hemicr,74 75 78
Xerophyllum asphodeloides,hemicr,75 78
Xerophyllum tenax,hemicr,71 73 76
Ypsilandra alpina,geophyte rhizome,36 41
Ypsilandra cavaleriei,geophyte rhizome,36
Ypsilandra jinpingensis,geophyte rhizome,36 41
Ypsilandra kansuensis,geophyte rhizome,36
Ypsilandra thibetica,geophyte rhizome,36 38
Ypsilandra yunnanensis,geophyte rhizome,36 40 41
Zigadenus glaberrimus,geophyte rhizome,78
Smilax aberrans,nanophan,36 41
Smilax aculeatissima,cl.,50
Smilax amamiana,NA,38
Smilax amblyobasis,cl.,43
Smilax ampla,cl.,43
Smilax anceps,cl.,22 23 24 25 26 27 29
Smilax anguina,cl.,43
Smilax annulata,cl.,43
Smilax aquifolium,cl.,81
Smilax arisanensis,cl.,36 38 41
Smilax aristolochiifolia,cl.,79 80
Smilax aspera,cl.,12 13 20 21 23 24 25 26 34 36 40 41
Smilax aspericaulis,cl.,36 38 40 41 42
Smilax assumptionis,cl. nanophan,83 85
Smilax astrosperma,cl.,36
Smilax auriculata,geophyte bulb hel.,78 81
Smilax australis,cl.,50
Smilax austrozhejiangensis,nanophan,36
Smilax azorica,cl.,21
Smilax bapouensis,nanophan,36
Smilax basilata,cl.,36
Smilax bauhinioides,cl.,36 41
Smilax bella,cl.,83
Smilax biflora,geophyte rhizome,38
Smilax biltmoreana,cl. hemicr,78
Smilax binchuanensis,cl.,36
Smilax biumbellata,cl.,36 40 41
Smilax blumei,cl.,41 42 43 50
Smilax bockii,cl.,36 38 40 41
Smilax bona-nox,geophyte bulb hel.,74 75 77 78 79 81
Smilax borneensis,cl.,42
Smilax bracteata,cl.,36 38 41 42 62
Smilax brasiliensis,nanophan,84
Smilax californica,hydrogeophyte tuber,73 76
Smilax calophylla,cl.,41 42 50
Smilax cambodiana,cl.,41
Smilax campestris,cl.,83 84 85
Smilax canariensis,cl.,21
Smilax canellifolia,cl.,81
Smilax celebica,cl.,42
Smilax chapaensis,cl.,36 41
Smilax china,cl.,36 38 40 41 42
Smilax chinensis,cl.,36
Smilax chingii,cl.,36
Smilax cinnamomea,cl.,82
Smilax cissoides,cl.,84
Smilax cocculoides,nanophan,36
Smilax cognata,cl.,83 84 85
Smilax compta,cl.,80
Smilax corbularia,cl.,36 41 42
Smilax cordato-ovata,cl.,82
Smilax cordifolia,cl.,79 81
Smilax coriacea,cl.,81
Smilax cristalensis,cl.,81
Smilax cuprea,cl.,81
Smilax cuspidata,cl.,82
Smilax darrisii,nanophan,36
Smilax davidiana,cl. nanophan,36 40 41
Smilax densibarbata,cl.,36
Smilax discotis,nanophan,36
Smilax domingensis,cl.,79 80 81 82 83 84
Smilax ecirrhata,cl. hemicr,72 74 75 78
Smilax elastica,cl. nanophan,83 84
Smilax elegans,cl.,36 40 41
Smilax elegantissima,cl.,36 41
Smilax elmeri,cl.,42
Smilax elongatoumbellata,nanophan,38
Smilax emeiensis,nanophan,36
Smilax erecta,nanophan,42
Smilax excelsa,cl.,13 33 34
Smilax extensa,cl.,41 42
Smilax ferox,cl. nanophan,36 40 41
Smilax flavicaulis,cl.,83
Smilax fluminensis,cl.,80 82 83 84 85
Smilax fooningensis,cl.,36
Smilax fortunensis,NA,80
Smilax fui,NA,38
Smilax gagnepainii,cl.,36 41
Smilax gaudichaudiana,cl.,36 38 41
Smilax gigantea,cl.,42
Smilax gigantocarpa,cl.,42
Smilax glabra,tuber geophyte cl.,36 38 40 41
Smilax glauca,geophyte bulb hel.,74 75 77 78 79
Smilax glaucochina,cl.,36 38
Smilax glyciphylla,cl.,50
Smilax goyazana,nanophan,83 84 85
Smilax gracilior,cl.,81
Smilax griffithii,cl.,36 40 41
Smilax guianensis,cl.,81 82
Smilax guiyangensis,cl.,36
Smilax havanensis,hydrogeophyte tuber,78 81
Smilax hayatae,nanophan,36 38
Smilax hemsleyana,cl.,36 40 41
Smilax herbacea,cl. hemicr,72 75 78
Smilax hilariana,cl.,84
Smilax hirtellicaulis,NA,36
Smilax horridiramula,cl.,38
Smilax hugeri,hydrogeophyte tuber,78
Smilax hypoglauca,cl.,36 42
Smilax ilicifolia,cl.,81
Smilax illinoensis,cl. hemicr,72 74 75
Smilax indosinica,cl.,41
Smilax inversa,cl.,41 42
Smilax irrorata,cl. nanophan,82 83 84
Smilax jamesii,hydrogeophyte tuber,76
Smilax japicanga,cl.,84
Smilax javensis,cl.,42
Smilax kaniensis,cl.,43 50
Smilax keyensis,cl.,42
Smilax kingii,cl.,40 42
Smilax klotzschii,cl.,42
Smilax korthalsii,cl.,42
Smilax kwangsiensis,cl.,36
Smilax lanceifolia,cl.,36 38 40 41 42
Smilax lappacea,cl.,82 83 84
Smilax larvata,cl.,84
Smilax lasioneura,cl. hemicr,71 72 73 74 75 77 78
Smilax laurifolia,hydrogeophyte tuber,74 77 78 81
Smilax lebrunii,cl.,36 41
Smilax leucophylla,cl.,41 42 43 50
Smilax ligneoriparia,cl.,36
Smilax ligustrifolia,cl.,60
Smilax loheri,cl.,42
Smilax longiflora,cl.,36
Smilax longifolia,cl.,81 82 83 84
Smilax lucida,cl.,42
Smilax luei,cl.,38
Smilax lunglingensis,cl.,36
Smilax lushuiensis,cl.,36
Smilax lutescens,cl.,84
Smilax luzonensis,cl.,40 41 42
Smilax macrocarpa,cl.,42
Smilax magnifolia,cl.,83
Smilax mairei,nanophan,36
Smilax malipoensis,cl.,36
Smilax maritima,hydrogeophyte tuber,74 77 78
Smilax maypurensis,cl.,82 83 84
Smilax megacarpa,cl.,36 40 41 42
Smilax megalantha,cl.,36 41
Smilax melanocarpa,cl.,43
Smilax melastomifolia,cl.,63
Smilax menispermoidea,cl.,36 40 41
Smilax micrandra,cl.,36
Smilax micrantha,cl.,42
Smilax microchina,nanophan,41
Smilax microdontus,NA,36
Smilax microphylla,cl.,36
Smilax minarum,cl.,84
Smilax minutiflora,nanophan,40
Smilax modesta,cl.,42
Smilax mollis,cl.,79 80 81 82 83
Smilax moranensis,cl.,79 80
Smilax munita,nanophan,36 40 41
Smilax muscosa,cl.,84
Smilax myosotiflora,cl.,41 42
Smilax myrtillus,nanophan,36 40 41
Smilax nageliana,cl.,42
Smilax nana,cham nanophan,36
Smilax nantoensis,cl.,38
Smilax neocaledonica,cl.,60
Smilax neocyclophylla,nanophan,36
Smilax nervomarginata,nanophan,36 38
Smilax nigrescens,cl.,36
Smilax nipponica,ther,36 38
Smilax nova-guineensis,cl.,43
Smilax obliquata,cl.,83
Smilax oblongata,cl.,81 82
Smilax oblongifolia,nanophan,84
Smilax ocreata,cl.,36 40 41
Smilax odoratissima,cl.,40 41 42
Smilax officinalis,cl.,80 83
Smilax orbiculata,cl.,60
Smilax ornata,cl.,79 80
Smilax orthoptera,cl.,40 41
Smilax outanscianensis,cl.,36
Smilax ovalifolia,cl.,36 40 41
Smilax ovatolanceolata,cl.,42
Smilax pachysandroides,cham nanophan,36
Smilax paniculata,cl.,41
Smilax papuana,cl.,43
Smilax perfoliata,cl.,36 38 40 41
Smilax pertenuis,cl.,41
Smilax petelotii,cl.,36 41
Smilax pilcomayensis,cl. nanophan,83 84 85
Smilax pilosa,NA,84
Smilax pinfaensis,nanophan,36
Smilax plurifurcata,cl.,60
Smilax poilanei,cl.,41
Smilax polyacantha,cl.,40 41 42
Smilax polyandra,cl.,36 40 41
Smilax polyantha,cl.,83 84 85
Smilax polycolea,cl.,36
Smilax populnea,cl.,81
Smilax pottingeri,cl.,36 40 41
Smilax pseudochina,cl. hemicr,40 75 78
Smilax pulverulenta,cl. hemicr,74 75 78
Smilax pumila,hydrogeophyte tuber,77 78
Smilax purhampuy,cl.,80 82 83 84
Smilax purpurata,cl.,60
Smilax pygmaea,cl.,38 42
Smilax quadrata,cl.,36 40 41
Smilax quadrumbellata,cl.,40
Smilax quinquenervia,cl. nanophan,82 83 84
Smilax remotinervis,cl.,84
Smilax retroflexa,nanophan,36 41
Smilax riparia,cl.,31 36 38 41 42
Smilax rotundifolia,hydrogeophyte tuber,72 74 75 77 78
Smilax roxburghiana,cl.,40
Smilax rubromarginata,cl.,43
Smilax rufescens,cl. nanophan,82 83 84
Smilax ruiziana,cl.,83
Smilax salicifolia,cl.,84
Smilax sanguinea,cl.,83
Smilax santaremensis,cl.,82 84
Smilax saulensis,cl.,82
Smilax schomburgkiana,cl.,81 82 83 84
Smilax scobinicaulis,cl.,36
Smilax sebeana,cl.,38
Smilax seisuiensis,cl.,38
Smilax septemnervia,cl.,36 41
Smilax setiramula,cl.,36
Smilax setosa,cl.,42
Smilax sieboldii,cl.,36 38
Smilax silverstonei,NA,83
Smilax sinclairii,cl.,42
Smilax siphilitica,cl. nanophan,81 82 83 84
Smilax solanifolia,cl.,81 82
Smilax spicata,cl.,84
Smilax spinosa,cl. nanophan,79 80 81 82 83 84
Smilax spissa,cl.,80
Smilax spruceana,cl.,84
Smilax stans,nanophan,36 38
Smilax stenophylla,cl.,84
Smilax subinermis,cl.,83
Smilax subpubescens,cl.,79 80
Smilax subsessiliflora,cl.,84
Smilax sumatrensis,cl.,41 42
Smilax synandra,nanophan,36 41
Smilax talbotiana,cl.,82
Smilax tamnoides,tuber geophyte,72 74 75 77 78 79
Smilax tetraptera,cl.,60
Smilax timorensis,cl.,42
Smilax tomentosa,cl.,79 82 83
Smilax trachypoda,nanophan,36
Smilax trinervula,cham,36 38
Smilax tsinchengshanensis,nanophan,36
Smilax tuberculata,cl.,83
Smilax turbans,cl.,40
Smilax utilis,phan,43
Smilax vaginata,cham,34 40
Smilax vanchingshanensis,cl.,36
Smilax velutina,cl.,79 80
Smilax verrucosa,cl.,84 85
Smilax verticalis,cl. nanophan,41
Smilax vitiensis,cl.,60
Smilax wallichii,cl.,40
Smilax walteri,hydrogeophyte tuber,77 78
Smilax wightii,cl.,40
Smilax williamsii,cl.,42
Smilax yunnanensis,cl.,36
Smilax zeylanica,cl. nanophan,40 41 42 43
Amana anhuiensis,geophyte bulb,36
Amana edulis,geophyte bulb,36 38
Amana erythronioides,geophyte bulb,36 38
Amana kuocangshanica,geophyte bulb,36
Amana wanzhensis,geophyte bulb,36
Calochortus albus,geophyte bulb,76 79
Calochortus amabilis,geophyte bulb,76
Calochortus ambiguus,geophyte bulb,76 77 79
Calochortus amoenus,geophyte bulb,76
Calochortus apiculatus,geophyte bulb,71 73
Calochortus argillosus,geophyte bulb,76
Calochortus aureus,geophyte bulb,73 76 77
Calochortus balsensis,geophyte bulb,79
Calochortus barbatus,geophyte bulb,79
Calochortus bruneaunis,geophyte bulb,73 76
Calochortus catalinae,geophyte bulb,76
Calochortus cernuus,geophyte bulb,79
Calochortus ciscoensis,geophyte bulb,76
Calochortus clavatus,geophyte bulb,76
Calochortus coeruleus,geophyte bulb,76
Calochortus concolor,geophyte bulb,76 79
Calochortus coxii,geophyte bulb,73
Calochortus dunnii,geophyte bulb,76 79
Calochortus elegans,geophyte bulb,73 76
Calochortus eurycarpus,geophyte bulb,73 76
Calochortus excavatus,geophyte bulb,76
Calochortus exilis,geophyte bulb,79
Calochortus fimbriatus,geophyte bulb,76
Calochortus flexuosus,geophyte bulb,73 76 77 79
Calochortus foliosus,geophyte bulb,79
Calochortus fuscus,geophyte bulb,79
Calochortus ghiesbreghtii,geophyte bulb,79 80
Calochortus greenei,geophyte bulb,73 76
Calochortus gunnisonii,geophyte bulb,73 74 76 77
Calochortus hartwegii,geophyte bulb,79
Calochortus howellii,geophyte bulb,73
Calochortus invenustus,geophyte bulb,76
Calochortus kennedyi,geophyte bulb,76 77 79
Calochortus leichtlinii,geophyte bulb,73 76
Calochortus longibarbatus,geophyte bulb,73 76
Calochortus luteus,geophyte bulb,76
Calochortus lyallii,geophyte bulb,71 73
Calochortus macrocarpus,geophyte bulb,71 73 76
Calochortus marcellae,geophyte bulb,79
Calochortus mendozae,geophyte bulb,79
Calochortus minimus,geophyte bulb,76
Calochortus monanthus,geophyte bulb,76 24
Calochortus monophyllus,geophyte bulb,76
Calochortus nigrescens,geophyte bulb,79
Calochortus nitidus,geophyte bulb,73
Calochortus nudus,geophyte bulb,73 76
Calochortus nuttallii,geophyte bulb,73 74 76 77
Calochortus obispoensis,geophyte bulb,76
Calochortus palmeri,geophyte bulb,76
Calochortus panamintensis,geophyte bulb,76
Calochortus persistens,geophyte bulb,73 76
Calochortus plummerae,geophyte bulb,76
Calochortus pringlei,geophyte bulb,79
Calochortus pulchellus,geophyte bulb,76
Calochortus purpureus,geophyte bulb,79
Calochortus raichei,geophyte bulb,76
Calochortus rustvoldii,geophyte bulb,76
Calochortus simulans,geophyte bulb,76
Calochortus spatulatus,geophyte bulb,79
Calochortus splendens,geophyte bulb,76 79
Calochortus striatus,geophyte bulb,76
Calochortus subalpinus,geophyte bulb,73
Calochortus superbus,geophyte bulb,76
Calochortus syntrophus,geophyte bulb,76
Calochortus tiburonensis,geophyte bulb,76
Calochortus tolmiei,geophyte bulb,73 76
Calochortus umbellatus,geophyte bulb,76
Calochortus umpquaensis,geophyte bulb,73
Calochortus uniflorus,geophyte bulb,73 76
Calochortus venustulus,geophyte bulb,79
Calochortus venustus,geophyte bulb,76
Calochortus vestae,geophyte bulb,76
Calochortus weedii,geophyte bulb,76 79
Calochortus westonii,geophyte bulb,76
Cardiocrinum cathayanum,geophyte bulb,36
Cardiocrinum cordatum,geophyte bulb,31 38
Cardiocrinum giganteum,geophyte bulb,36 40 41
Clintonia andrewsiana,hemicr,73 76
Clintonia borealis,hemicr,71 72 74 75 78
Clintonia udensis,hemicr,31 36 38 40 41
Clintonia umbellulata,hemicr,75 78
Clintonia uniflora,geophyte rhizome,70 71 73 76
Erythronium albidum,geophyte bulb,72 74 75 77 78
Erythronium americanum,geophyte bulb,72 74 75 78
Erythronium californicum,geophyte bulb,76
Erythronium caucasicum,geophyte bulb,33 34
Erythronium citrinum,geophyte bulb,73 76
Erythronium dens-canis,geophyte bulb,11 12 13 14
Erythronium elegans,geophyte bulb,73
Erythronium grandiflorum,geophyte bulb,71 73 76 77
Erythronium helenae,geophyte bulb,76
Erythronium hendersonii,geophyte bulb,73 76
Erythronium howellii,geophyte bulb,73 76
Erythronium idahoense,geophyte bulb,73
Erythronium japonicum,geophyte bulb,31 36 38
Erythronium klamathense,geophyte bulb,73 76
Erythronium krylovii,geophyte bulb,30
Erythronium mesochoreum,geophyte bulb,74 77 78
Erythronium montanum,geophyte bulb,71 73
Erythronium multiscapideum,geophyte bulb,76
Erythronium oregonum,geophyte bulb,71 73 76
Erythronium pluriflorum,geophyte bulb,76
Erythronium propullans,geophyte bulb,74
Erythronium purpurascens,geophyte bulb,76
Erythronium pusaterii,geophyte bulb,76
Erythronium quinaultense,geophyte bulb,73
Erythronium revolutum,geophyte bulb,71 73 76
Erythronium rostratum,geophyte bulb,74 75 77 78
Erythronium sajanense,geophyte bulb,30
Erythronium shastense,geophyte bulb,76
Erythronium sibiricum,geophyte bulb,30 32 36 37
Erythronium sulevii,geophyte bulb,30
Erythronium taylorii,geophyte bulb,76
Erythronium tuolumnense,geophyte bulb,76
Erythronium umbilicatum,geophyte bulb,75 78
Fritillaria acmopetala,geophyte bulb,34
Fritillaria affinis,geophyte bulb,71 73 76
Fritillaria agrestis,geophyte bulb,76
Fritillaria alburyana,geophyte bulb,34
Fritillaria alfredae,geophyte bulb,34
Fritillaria amabilis,geophyte bulb,38
Fritillaria amana,geophyte bulb,34
Fritillaria anhuiensis,geophyte bulb,36
Fritillaria ariana,geophyte bulb,32 34
Fritillaria assyriaca,geophyte bulb,34
Fritillaria asumaniae,geophyte bulb,34
Fritillaria atrolineata,geophyte bulb,34
Fritillaria atropurpurea,geophyte bulb,73 74 76 77
Fritillaria aurea,geophyte bulb,34
Fritillaria avromanica,geophyte bulb,34
Fritillaria ayakoana,geophyte bulb,38
Fritillaria baskilensis,geophyte bulb,34
Fritillaria biflora,geophyte bulb,76 79
Fritillaria bithynica,geophyte bulb,34
Fritillaria brandegeei,geophyte bulb,76
Fritillaria bucharica,geophyte bulb,32 34
Fritillaria byfieldii,geophyte bulb,34
Fritillaria camschatcensis,geophyte bulb,31 38 70 71 73
Fritillaria carica,geophyte bulb,34
Fritillaria caucasica,geophyte bulb,33 34
Fritillaria chitralensis,geophyte bulb,34 40
Fritillaria chlorantha,geophyte bulb,34
Fritillaria chlororhabdota,geophyte bulb,34
Fritillaria cirrhosa,geophyte bulb,36 40 41
Fritillaria collina,geophyte bulb,33 34
Fritillaria conica,geophyte bulb,13
Fritillaria crassicaulis,geophyte bulb,36
Fritillaria crassifolia,geophyte bulb,34
Fritillaria dagana,geophyte bulb,30 37
Fritillaria dajinensis,geophyte bulb,36
Fritillaria davidii,geophyte bulb,36
Fritillaria davisii,geophyte bulb,13
Fritillaria delavayi,geophyte bulb,36 40
Fritillaria drenovskii,geophyte bulb,13
Fritillaria dzhabavae,geophyte bulb,33
Fritillaria eastwoodiae,geophyte bulb,73 76
Fritillaria eduardii,geophyte bulb,32
Fritillaria ehrhartii,geophyte bulb,13
Fritillaria elwesii,geophyte bulb,34
Fritillaria epirotica,geophyte bulb,13
Fritillaria euboeica,geophyte bulb,13
Fritillaria falcata,geophyte bulb,76
Fritillaria ferganensis,geophyte bulb,32
Fritillaria fleischeriana,geophyte bulb,34
Fritillaria forbesii,geophyte bulb,34
Fritillaria frankiorum,geophyte bulb,34
Fritillaria fusca,geophyte bulb,36
Fritillaria gentneri,geophyte bulb,73
Fritillaria gibbosa,geophyte bulb,32 33 34 40
